STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
722;2023052608;10;5.6;360;eor
722;2023052609;10;5.4;360;eor
722;2023052610;10;4.4;350;eor
722;2023052611;10;5.3;350;eor
722;2023052612;10;3.9;340;eor
722;2023052613;10;5.6;350;eor
722;2023052614;10;6.0;350;eor
722;2023052615;10;6.2;360;eor
722;2023052616;10;6.4;360;eor
722;2023052617;10;7.1;360;eor
722;2023052618;10;8.0;360;eor
722;2023052619;10;8.7;360;eor
722;2023052620;10;10.1;360;eor
722;2023052621;10;10.3;10;eor
722;2023052622;10;10.7;20;eor
722;2023052623;10;9.2;30;eor
722;2023052700;10;8.3;40;eor
722;2023052701;10;7.1;60;eor
722;2023052702;10;8.1;60;eor
722;2023052703;10;7.7;50;eor
722;2023052704;10;7.0;60;eor
722;2023052705;10;6.8;60;eor
722;2023052706;10;6.7;90;eor
722;2023052707;10;4.8;100;eor
722;2023052708;10;3.9;110;eor
722;2023052709;10;3.3;100;eor
722;2023052710;10;3.1;100;eor
722;2023052711;10;3.8;90;eor
722;2023052712;10;4.2;90;eor
722;2023052713;10;4.6;100;eor
722;2023052714;10;5.1;100;eor
722;2023052715;10;4.8;90;eor
722;2023052716;10;4.4;90;eor
722;2023052717;10;4.5;100;eor
722;2023052718;10;3.7;100;eor
722;2023052719;10;3.6;120;eor
722;2023052720;10;4.1;110;eor
722;2023052721;10;4.2;120;eor
722;2023052722;10;5.1;140;eor
722;2023052723;10;5.3;130;eor
722;2023052800;10;5.8;130;eor
722;2023052801;10;5.9;150;eor
722;2023052802;10;5.2;160;eor
722;2023052803;10;4.8;160;eor
722;2023052804;10;4.5;150;eor
722;2023052805;10;3.0;140;eor
722;2023052806;10;3.2;140;eor
722;2023052807;10;3.7;100;eor
722;2023052808;10;3.6;70;eor
722;2023052809;10;4.5;50;eor
722;2023052810;10;3.6;80;eor
722;2023052811;10;5.0;60;eor
722;2023052812;10;4.4;50;eor
722;2023052813;10;4.6;50;eor
722;2023052814;10;5.7;30;eor
